,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE,target
0,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,11.25961987,-1.17300359,0.347263245,-0.507381418,1.833333333,2.607781694,533.3309085,-1.71,106.2086437,66.76,0.5,2.48576,-8.33,0.205,8.535,3.66858,71.01129,172.222983,102.50561,273.97692,53.07068304,1
1,O=C(O)C=Cc1ccc(O)c(O)c1,10.12579948,-1.062440004,0.327821203,-0.504259632,1.923076923,2.915115081,354.6323762,-1.97,74.38084979,77.76,0,1.1956,-9.18,1.008,10.188,4.16961,75.30554,194.752373,60.91333,254.91403,76.42782304,1.31
2,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,11.82684776,-2.309469967,0.335432216,-0.504259632,1.84,2.058883686,698.8458476,-2.62,141.587382,164.75,0.375,-0.6459,-9.19,0.483,9.673,2.00886,67.23454,185.420423,66.88688,251.55563,71.71522304,1.56
3,O=C(O)C=Cc1ccccc1O,10.11548517,-1.029395314,0.3278235,-0.507334514,2,2.89157081,315.3046159,-1.77,69.58661603,57.53,0,1.49,-9.29,0.561,9.851,2.41848,81.16575,193.496963,70.2487,262.99399,74.20807304,0.93
4,O=C(O)C=Cc1cccc(O)c1,10.10824546,-1.001534392,0.327821203,-0.507944274,2.166666667,2.826395263,315.3046159,-1.77,69.58661603,57.53,0,1.49,-9.54,0.956,10.496,3.50567,83.20095,203.715343,65.90252,268.86619,70.37107304,0.82
5,O=C(O)C=Cc1ccc(O)cc1,10.10337176,-0.983263889,0.327821185,-0.507966251,1.833333333,2.772025613,298.0546159,-1.77,69.58661603,57.53,0,1.49,-9.2,0.509,9.709,2.81879,82.18401,197.357163,68.70476,265.31025,72.91007304,1.96
6,COc1cc(C=CC(=O)O)ccc1O,10.22659037,-1.016627929,0.327821203,-0.504254344,2.214285714,2.948507337,368.3847897,-1.97,81.06510338,66.76,0.1,1.4986,-8.86,0.904,9.764,2.67168,74.95408,186.365523,74.00479,259.61864,71.37175304,1.92
7,COc1ccc(C=CC(=O)O)cc1O,10.20666367,-1.02749273,0.327821203,-0.504240215,2.214285714,2.914616137,368.3847897,-1.97,81.06510338,66.76,0.1,1.4986,-8.68,0.457,9.137,3.11605,75.38579,181.423403,91.40537,272.0771,59.34500304,1.53
8,O=C(O)C=Cc1ccccc1,10.08581774,-0.922358277,0.327821185,-0.478073604,1.909090909,2.721773554,262.1510391,-1.57,64.79238228,37.3,0,1.7844,-9.82,0.914,10.734,3.08525,85.75706,208.309533,69.94585,277.50371,64.28966304,0.007
9,O=C(O)c1cc(O)c(O)c(O)c1,10.31281557,-1.291111111,0.335462307,-0.50414374,1.5,3.306535413,307.5637747,-1.91,67.13480234,97.99,0,0.5016,-9.39,0.934,10.324,2.07253,76.55657,198.763493,63.60038,261.6122,70.98068304,3.52
10,O=C(O)c1ccc(O)c(O)c1,10.27170446,-1.138611111,0.335322526,-0.504259584,1.818181818,3.151549668,292.4920898,-1.71,62.34056859,77.76,0,0.796,-9.4,0.824,10.224,3.06604,77.6399,208.047723,49.96922,257.26527,76.41094304,1.15
11,O=C(O)c1ccc(O)cc1O,10.29142668,-1.219907407,0.338973937,-0.50782248,1.909090909,3.196069662,292.4920898,-1.71,62.34056859,77.76,0,0.796,-9.69,0.778,10.468,1.3603,90.07136,205.170203,54.6356,259.05413,87.05354304,1.22
12,O=C(O)c1ccccc1O,10.26175926,-1.11287037,0.338969087,-0.507052891,1.9,3.152941447,254.7830614,-1.51,57.54633484,57.53,0,1.0904,-9.64,0.643,10.283,3.61302,83.62782,206.676393,58.53922,264.46394,75.20019304,0.037
13,O=C(O)c1cccc(O)c1,10.24203704,-1.031574074,0.335317714,-0.507939638,2.1,3.069899266,254.7830614,-1.51,57.54633484,57.53,0,1.0904,-9.59,0.885,10.475,3.47728,82.98224,206.030673,64.21016,269.48916,69.52939304,0.025
14,O=C(O)c1ccc(O)cc1,10.23059335,-0.986111111,0.33518286,-0.507966179,1.7,3.003400685,237.5330614,-1.51,57.54633484,57.53,0,1.0904,-9.76,0.681,10.441,2.11973,85.39495,209.472033,52.7018,261.42216,80.00910304,0.028
15,COc1cc(C(=O)O)cc(OC)c1O,10.65578609,-1.10962963,0.335462562,-0.50169916,1.642857143,3.315382669,333.2151008,-1.91,80.50330953,75.99,0.222222222,1.1076,-8.87,0.685,9.555,0.5273,74.2363,185.650593,82.13717,267.03609,63.23652304,1.39
16,COc1cc(C(=O)O)ccc1O,10.44318972,-1.04787037,0.335322653,-0.504254296,2.166666667,3.13430025,305.926212,-1.71,69.02482218,66.76,0.125,1.099,-9.2,0.701,9.901,1.7984,79.9003,194.604263,71.1371,264.98969,70.94692304,0.092
17,O=C(O)c1ccccc1,10.20092593,-0.879074074,0.335178235,-0.477639251,1.777777778,2.981454614,203.4159526,-1.31,52.75210109,37.3,0,1.3848,-10.26,0.747,11.007,2.33326,102.19627,222.161533,55.65736,277.06722,81.16536304,0.005
18,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,12.72163418,-1.181149166,0.338339156,-0.507679031,1.303030303,1.747260573,1221.427404,-4.67,184.7420114,197.37,0.136363636,2.2332,-8.92,1.136,10.056,6.99693,74.17916,187.838573,59.2302,246.3171,83.89837304,5.95
19,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,12.70408016,-1.062523621,0.338339156,-0.507679031,1.5,1.72135185,1196.568791,-4.47,179.9477777,177.14,0.136363636,2.5276,-9.02,0.818,9.838,4.72314,70.796,188.728013,66.2425,254.21884,72.61347304,5.29
20,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,10.18960223,-1.04973545,0.199776865,-0.507679031,1.5,2.028211111,717.9062011,-2.8,124.4564403,130.61,0.2,1.2517,-8.98,0.175,9.155,4.41982,70.53203,188.791593,73.86783,261.90775,64.66059304,3.71
21,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,10.18034297,-0.933439153,0.157304618,-0.507679031,1.666666667,1.997881017,696.8034648,-2.6,119.6622065,110.38,0.2,1.5461,-9.08,0.349,9.429,2.80458,74.08899,190.338743,61.26052,250.84759,79.27771304,3.08
22,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,12.16530203,-0.9668476,0.238288602,-0.507678166,1.347826087,2.395110401,979.5051144,-3.55,126.9019033,151.59,0,1.6936,-8.77,1.007,9.777,1.40448,74.16994,180.985993,73.69705,253.93137,76.27488304,1.31
23,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,12.14287431,-0.887671485,0.238288582,-0.507678166,1.545454545,2.377257968,956.2426828,-3.35,122.1076695,131.36,0,1.988,-8.83,1.2,10.03,0.84812,75.48813,182.135823,72.18006,253.56421,77.96023304,4.42
24,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,12.15011401,-0.915532407,0.238291222,-0.507822516,1.5,2.407728671,956.2426828,-3.35,122.1076695,131.36,0,1.988,-9.02,0.8,9.82,3.14551,76.62949,177.341733,71.21467,247.80473,84.86107304,2.68
25,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,12.12044659,-0.80849537,0.238288561,-0.507966213,1.523809524,2.372496567,892.666285,-3.15,117.3134358,111.13,0,2.2824,-8.92,1.114,10.034,3.54602,76.44874,182.325023,72.96508,254.53843,77.94662304,1.59
26,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,12.10289257,-0.747589758,0.238288561,-0.507678166,1.65,2.422398194,849.5071387,-2.95,112.519202,90.9,0,2.5768,-9.13,1.01,10.14,3.70518,72.36456,187.697503,70.80753,257.75336,70.64751304,1.12
27,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,13.24691681,-1.854275689,0.238632695,-0.507678166,1.606060606,1.909027255,1250.204178,-3.55,183.9012828,210.51,0.285714286,-0.5389,-8.95,1.103,10.053,2.67978,66.4793,172.154373,71.25399,242.65669,79.85892304,2.39
28,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,13.56998897,-1.968199406,0.238632695,-0.507678166,1.418604651,1.478468714,1539.635063,-3.71,240.9006623,269.43,0.444444444,-1.6871,-9.19,1.221,10.411,5.62666,57.4887,181.251443,49.04669,229.54646,83.97855304,2.02
29,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,13.22675863,-1.744646059,0.238632695,-0.507678166,1.59375,1.921103948,1234.623492,-3.51,179.107049,190.28,0.285714286,0.4887,-9.24,0.691,9.931,3.59951,72.27693,176.594953,69.73064,245.57392,82.73932304,2.18
30,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,13.22448909,-1.801870853,0.238632674,-0.507966213,1.59375,1.885707937,1185.055548,-3.35,179.107049,190.28,0.285714286,-0.2445,-9.06,0.919,9.979,4.08533,72.45956,180.408623,76.24321,255.90016,72.59571304,0.138
31,CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(CO)C(O)C(O)C4O)c(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O,13.72634412,-1.919887022,0.238632698,-0.506890452,1.395348837,1.605857522,1537.635063,-3.71,240.9006623,269.43,0.444444444,-2.0382,-9.32,1.4,10.72,7.46986,74.79894,189.761323,51.87868,240.88833,89.94692304,1.56
32,O=c1c(O)c(-c2ccccc2)oc2ccccc12,12.01239182,-0.406756425,0.234528924,-0.501515415,1.555555556,2.383140351,757.5407672,-2.55,102.9307345,50.44,0,3.1656,-8.87,1.113,9.983,2.66168,75.23621,182.470003,84.59619,266.31452,64.95800304,0.707
33,O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O,11.8616706,-0.449014078,0.189074898,-0.507822516,1.6,2.218965913,688.6583829,-2.95,114.2321777,97.99,0,2.4051,-8.98,1.029,10.009,2.24311,75.63976,187.591613,69.34408,256.18402,75.49205304,2.42
34,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,11.98688177,-0.446105442,0.17017637,-0.507966645,1.4,2.10895271,608.207287,-2.69,114.9217808,97.99,0.133333333,2.3245,-8.94,0.093,9.033,4.13604,76.50494,174.185933,87.05537,260.48963,72.05162304,1.79
35,COc1cc(O)ccc1C(=O)C=Cc1ccc(O)c(O)c1,12.10055949,-0.306097411,0.189082995,-0.507822385,1.80952381,2.245616689,703.8086783,-2.95,120.9164313,86.99,0.0625,2.7081,-8.75,0.511,9.261,3.54398,74.8701,181.819003,79.28239,260.34972,70.55669304,1.93
36,O=C(C=Cc1ccccc1)c1ccccc1,11.73118811,0.031900983,0.185350176,-0.289290909,1.375,2.117278692,483.3581055,-2.15,95.05524274,17.07,0,3.5827,-9.62,0.809,10.429,2.87772,84.49899,200.731973,92.93434,292.91464,47.62066304,0.001
37,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,12.04333727,-0.489523337,0.196579174,-0.507678166,1.571428571,2.294345957,909.916285,-3.15,117.3134358,111.13,0,2.2824,-9.31,1.158,10.468,2.3893,77.55812,195.281003,62.05922,256.58855,77.00588304,2.18
38,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,12.04446665,-0.738647119,0.200849627,-0.504067897,1.6,2.362332853,849.5071387,-2.95,112.519202,90.9,0,2.5768,-8.79,1.161,9.951,5.79664,76.96242,171.291843,86.76609,257.30626,75.69247304,2.56
39,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,12.02090955,-0.410347222,0.196579154,-0.507966213,1.55,2.289397286,846.5071387,-2.95,112.519202,90.9,0,2.5768,-9.41,1.058,10.468,3.49008,83.77921,197.646603,56.96718,253.86211,85.95341304,0.086
