,SMILES,target,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
0,Cc1cc(O)c(Br)cc1O,1,9.083425926,0.148425926,0.129792812,-0.507640368,1.8,3.282462907,207.7781739,-0.7,67.25236034,40.46,0.142857143,2.16872,-8.849,-0.441,8.408,2.44556,77.32378,188.69824,83.49157,271.43814,61.92195
1,COc1ccc(O)c(C)c1,1,9.08366969,0.306296296,0.118894271,-0.50768251,2.1,3.043618059,230.6992424,-1.18,60.06906633,29.46,0.25,1.70922,-8.462,0.089,8.551,1.94414,76.20192,179.9334,100.53617,279.7179,52.52033
2,Cc1cc(O)ccc1O,1,8.932592593,0.185462963,0.118251236,-0.507951801,1.888888889,3.17167803,218.1561776,-1.18,53.38481274,40.46,0.142857143,1.40622,-8.652,-0.077,8.575,0.71912,76.72593,185.24805,94.94846,279.44484,53.3174
3,OCc1cc(O)ccc1O,1,8.963842593,-0.263657407,0.120856516,-0.507950062,1.9,3.090683646,232.2928705,-1.22,58.17904649,60.69,0.142857143,0.5901,-8.847,-0.295,8.552,1.65184,70.1724,188.20711,85.53775,272.99319,53.21552
4,CC(C)=CC(=O)CC(C)c1ccc(C)cc1O,1,11.65742189,0.040462963,0.15572421,-0.507654426,2.058823529,2.797060674,440.2350837,-1.57,102.982035,37.3,0.4,3.72952,-8.854,0.237,9.091,2.6975,70.17335,185.87972,92.87756,278.00561,48.20405
5,COc1cc(/C=C/C(=O)CC(O)CCc2ccc(O)c(OC)c2)ccc1O,1,12.02412048,-0.767313083,0.160571749,-0.504254605,1.666666667,1.860472246,812.3142857,-2.99,157.8546871,96.22,0.285714286,3.0811,-8.411,-0.768,7.643,2.01838,62.135,168.52553,94.50515,262.27901,55.8923
6,O=C(/C=C/c1ccc(O)cc1)CC(O)CC(=O)c1ccc(O)cc1,1,11.96451643,-1.066415869,0.164967962,-0.507966251,1.416666667,1.854159685,729.3573937,-2.92,139.0592346,94.83,0.157894737,2.7041,-9.336,-0.978,8.358,3.64131,65.9426,184.3882,70.71818,254.35471,67.6242
7,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,1,11.7257421,-0.293119331,0.162918627,-0.507966251,1.043478261,1.876553987,672.4440099,-3.14,133.5753978,74.6,0.052631579,3.3527,-9.172,-0.907,8.265,1.16746,81.18703,174.51601,79.40005,253.16439,84.05895
8,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,1,11.84896072,-0.326483371,0.162918644,-0.507966251,1.48,1.923936803,816.4801993,-3.34,145.0538851,83.83,0.1,3.3613,-8.862,-0.885,7.977,6.81109,81.38443,184.95227,68.16498,252.36558,85.05516
9,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1,11.92939826,-0.347242116,0.162918644,-0.504254344,1.222222222,1.958861483,822.0399999,-3.54,156.5323725,93.06,0.142857143,3.3699,-8.828,-0.936,7.892,2.82691,74.87693,183.38655,70.36833,253.00321,77.91003
10,O=Cc1ccc(O)c(O)c1,1,10.07726002,-0.273518519,0.157607854,-0.504259611,1.9,3.158901732,255.0281739,-1.51,57.54633484,57.53,0,0.9103,-9.297,-0.78,8.517,1.18638,72.67133,206.48712,54.39005,260.1255,68.58214
11,O=Cc1cc(O)c(O)c(O)c1,1,10.11837113,-0.615185185,0.199800646,-0.504145404,1.545454545,3.310942113,269.4872023,-1.71,62.34056859,77.76,0,0.6159,-9.511,-1.004,8.507,4.12038,69.39897,194.71427,61.55827,255.52087,69.91441
12,O=Cc1ccc(O)c(O)c1O,1,10.13809335,-0.671666667,0.200526545,-0.504160804,1.727272727,3.358088236,292.7372023,-1.71,62.34056859,77.76,0,0.6159,-9.263,-0.963,8.3,1.27925,77.56866,188.94175,75.76784,263.95792,69.64705
13,O=Cc1c(O)cc(O)cc1O,1,10.15781557,-0.43287037,0.157031247,-0.507678709,1.545454545,3.357321447,269.4872023,-1.71,62.34056859,77.76,0,0.6159,-9.719,-0.688,9.031,3.49532,81.36525,200.05122,57.11989,256.41944,80.98212
14,COc1cc(C=O)ccc1O,1,10.24874528,0.039907407,0.160689324,-0.504254323,2.272727273,3.116164134,268.0397226,-1.51,64.23058843,46.53,0.125,1.2133,-9.104,-0.664,8.44,1.54393,75.22378,192.98167,75.50893,267.73893,63.52116
15,N#Cc1ncn(-c2ccc(O)cc2)c1N,1,9.115777904,0.178651292,0.182367311,-0.507964311,2,2.507542571,521.3456838,-2.48,86.01892346,87.86,0,1.03178,-9.03,-0.874,8.156,9.55184,81.29668,184.15661,72.69294,256.09788,81.23511
16,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,1,11.25961987,-1.17300359,0.347263245,-0.507381418,1.833333333,2.607781694,533.3309085,-1.71,106.2086437,66.76,0.5,2.48576,-8.337,0.205,8.542,3.66858,71.01129,172.22298,102.50561,273.97692,53.07068
17,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,10.38449074,-0.01775463,0.122540495,-0.507340695,1.125,3.507848338,353.8715828,-0.98,99.5101159,20.23,0.6,4.29562,-8.484,0.421,8.905,1.57966,75.89648,177.06705,103.40345,279.71883,52.21396
18,Cc1cc(O)cc(O)c1O,1,8.96962963,-0.293981481,0.160908761,-0.507807936,1.7,3.310532875,232.0232864,-1.38,58.17904649,60.69,0.142857143,1.11182,-8.693,-0.038,8.655,1.88687,72.69521,189.22979,80.56774,269.04586,59.68566
19,Cc1cc(O)c(Oc2cc(C)cc(O)c2O)c(O)c1,1,9.733861489,-0.453726852,0.210251223,-0.50415426,1.210526316,2.475930382,610.9688298,-2.56,109.5088618,90.15,0.142857143,2.91814,-8.994,-0.297,8.697,1.10298,72.2013,180.40634,74.43808,254.09275,74.14486
20,Cc1cc(O)cc(Oc2cc(C)cc(O)c2O)c1,1,9.684417045,-0.317966742,0.20069593,-0.507812364,1.5,2.392554832,570.3381299,-2.36,104.714628,69.92,0.142857143,3.21254,-8.909,-0.197,8.712,1.15766,76.13103,182.61207,88.00074,269.86114,62.3062
21,Cc1cc(O)c(O)c(Oc2cc(C)cc(O)c2Oc2cc(C)cc(O)c2O)c1,1,10.35848199,-0.492988683,0.211166915,-0.50415426,0.892857143,2.090251147,1057.35024,-3.74,160.8386771,119.61,0.142857143,4.72446,-8.491,-0.423,8.068,4.40449,74.12715,173.56286,81.90794,254.71913,75.44433
22,Cc1cc(O)c(Oc2cc(C)cc(O)c2Oc2cc(C)cc(O)c2O)c(O)c1,1,10.34960055,-0.502263566,0.211170635,-0.50415426,0.892857143,2.091401638,1034.10024,-3.74,160.8386771,119.61,0.142857143,4.72446,-8.678,-0.104,8.574,2.04698,76.4214,172.30632,89.22715,260.7818,71.67591
23,Cc1cc(O)c(Oc2ccc(C)cc2Oc2cc(C)cc(O)c2O)c(O)c1,1,10.08673887,-0.394364378,0.210247991,-0.50415426,1.111111111,2.024087684,986.7890505,-3.54,156.0444433,99.38,0.142857143,5.01886,-8.779,-0.063,8.716,1.57422,77.26119,177.67195,81.99792,258.9182,74.3793
24,COc1cc(/C=C/C(=O)O)ccc1O,1,10.22659037,-1.016627929,0.327821203,-0.504254344,2.214285714,2.948507337,368.3847897,-1.97,81.06510338,66.76,0.1,1.4986,-8.86,-0.904,7.956,2.67222,74.95418,186.36526,74.00492,259.61851,71.37198
25,COc1cc(/C=C/C(=O)NCCCCNC(=O)/C=C/c2ccc(O)cc2)ccc1O,1,11.84656937,-0.219529093,0.243499053,-0.507966251,1.4,1.598236754,904.3095242,-3.74,175.2484358,107.89,0.217391304,2.8456,-8.743,-0.533,8.21,7.1955,70.1552,181.74276,67.02237,248.01346,78.17805
26,COc1cc(/C=C/C(=O)NCCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1,11.88335685,-0.22839193,0.243499053,-0.504254344,1.1875,1.630017828,904.9498836,-3.94,186.7269232,117.12,0.25,2.8542,-8.661,-0.619,8.042,3.50845,71.67787,171.69982,86.72938,257.67753,70.03665
27,O=C(O)/C=C/c1ccc(O)c(O)c1,1,10.12579948,-1.062440004,0.327821203,-0.504259632,1.923076923,2.915115081,354.6323762,-1.97,74.38084979,77.76,0,1.1956,-9.185,-1.009,8.176,4.17043,75.30547,194.75269,60.91296,254.91398,76.4278
28,COc1cc(O)ccc1O,1,8.998842593,0.028055556,0.16365922,-0.507818249,2,3.090683646,232.2928705,-1.38,58.49835797,49.69,0.142857143,1.1064,-8.412,-0.061,8.351,1.63084,73.21469,177.66562,96.21064,273.12459,56.12641
29,Oc1ccc(O)cc1,1,8.645555556,0.169259259,0.115345951,-0.507962237,1,3.032455532,145.3883389,-1.18,47.01987062,40.46,0,1.0978,-8.786,-0.21,8.576,0.00017,78.14842,189.1579,90.1445,278.55073,55.634
30,Cc1cc(C)cc(O)c1,1,8.993888889,0.354166667,0.115604486,-0.507946148,1.444444444,3.16567031,165.3298402,-0.98,54.9555211,20.23,0.25,2.00904,-9.031,0.292,9.323,1.61028,81.95284,192.88318,88.16477,280.29628,57.69287
31,COc1cc(O)c(CC=C(C)C)cc1O,1,9.639422714,0.048570484,0.163681161,-0.507515077,1.933333333,2.999207732,376.6987761,-1.64,89.63346551,49.69,0.333333333,2.6151,-8.195,0.135,8.33,2.68329,69.98312,170.15226,104.78683,274.18742,51.83201
32,CC(C)=CCc1ccc(O)cc1O,1,9.414978269,0.095787037,0.122267466,-0.507822963,2,2.839700655,322.8622057,-1.44,78.15497816,40.46,0.272727273,2.6065,-8.82,0.18,9,2.69899,70.51408,185.29076,90.56173,275.10082,51.44957
33,CC(C)=CCc1cc(O)ccc1O,1,9.407478269,0.189774187,0.118850765,-0.507951412,2,2.874312313,322.8622057,-1.44,78.15497816,40.46,0.272727273,2.6065,-8.584,-0.004,8.58,1.03443,69.04217,187.77247,91.18413,278.20493,46.87355
34,CC(C)=CCc1c(C)cc(O)cc1O,1,9.595811602,0.111990741,0.122533304,-0.50781253,1.928571429,3.027080666,337.5796331,-1.44,84.51992028,40.46,0.333333333,2.91492,-8.757,0.219,8.976,1.04326,70.98123,187.10603,87.89098,274.24534,52.7722
35,CC(C)=CCc1ccc(O)c(O)c1,1,9.194639078,-0.068564815,0.157173724,-0.504259891,1.923076923,2.798552577,322.8622057,-1.44,78.15497816,40.46,0.272727273,2.6065,-8.734,0.091,8.825,2.28512,69.00593,183.69786,90.63703,273.58322,51.45902
36,CC(C)=CCc1c(O)cc(O)cc1O,1,9.435811602,-0.138009259,0.125970366,-0.507679167,1.642857143,3.027080666,339.7905478,-1.64,82.94921192,60.69,0.272727273,2.3121,-8.964,0.26,9.224,1.13163,70.20396,186.04504,86.06519,271.35856,54.88171
37,CC(C)=CCc1cc(CC=C(C)C)c(O)cc1O,1,9.801418021,0.158287037,0.12228871,-0.507519809,1.222222222,3.018515274,432.8654821,-1.7,109.2900857,40.46,0.375,4.1152,-8.481,0.231,8.712,2.07036,70.28209,178.79084,97.15747,275.19664,51.12176
38,CC(C)=CCc1cc(O)c(CC=C(C)C)cc1O,1,9.932858088,0.252274187,0.119138433,-0.507648368,1.166666667,2.966726451,428.3654821,-1.7,109.2900857,40.46,0.375,4.1152,-8.383,0.153,8.536,3.23709,68.79766,173.73786,105.79509,278.78128,46.05269
39,CC(C)=CCc1c(O)cc(O)c(CC=C(C)C)c1C,1,9.982251354,0.174490741,0.122554596,-0.507509313,1.263157895,3.218126065,470.3038694,-1.7,115.6550278,40.46,0.411764706,4.42362,-8.565,0.463,9.028,3.73145,69.57858,175.29427,101.90068,276.44328,49.17161
40,CC(C)=CCc1cc(O)c(O)cc1CC=C(C)C,1,9.58107883,-0.048049887,0.157195076,-0.504252935,1.166666667,3.081299771,429.1154821,-1.7,109.2900857,40.46,0.375,4.1152,-8.514,0.175,8.689,2.65997,69.94095,178.25424,96.47122,273.97379,52.00347
41,CC(C)=CCc1c(O)cc(O)c(CC=C(C)C)c1O,1,10.19773432,-0.075509259,0.129487452,-0.507375136,1.210526316,3.218126065,473.0358502,-1.9,114.0843195,60.69,0.375,3.8208,-8.668,0.324,8.992,2.56792,70.87906,179.81974,92.16925,271.23732,55.67805
42,CC1(C)CCc2cc(O)ccc2O1,1,9.262772109,-0.06550359,0.123072621,-0.507951611,2.153846154,2.369588426,328.8622057,-1.18,78.15806152,29.46,0.454545455,2.4958,-8.347,0.121,8.468,1.58213,73.73385,174.18092,107.93803,281.36728,48.40288
43,COc1cc(/C=C/C(=O)Oc2ccc(C(C)(C)C)cc2)ccc1O,1,11.89935173,-0.467082861,0.335667047,-0.504254344,1.75,2.024273787,737.2244325,-2.75,141.9012775,55.76,0.25,4.3171,-8.82,-0.836,7.984,2.36111,74.99947,184.3243,75.11423,258.68686,72.34892
44,COc1cc(/C=C/C(=O)Oc2ccc(C(C)C)cc2)ccc1O,1,11.83632126,-0.463575208,0.335667047,-0.504254344,1.826086957,2.009655407,699.809594,-2.75,135.5363354,55.76,0.210526316,4.143,-8.825,-0.84,7.985,2.46028,70.85408,184.47899,74.84995,258.57727,68.31312
45,COc1cc(/C=C/C(=O)Oc2ccc(Cl)c(C)c2)ccc1O,1,11.78076176,-0.50577381,0.335667218,-0.504254344,2,2.060078992,722.5940316,-2.46,133.1097174,55.76,0.117647059,3.98142,-9.025,-1.044,7.981,4.2334,78.04483,188.97419,70.97284,259.19536,74.88578
46,COc1ccc(OC(=O)/C=C/c2ccc(O)c(OC)c2)cc1,1,11.74073869,-0.502584562,0.335667079,-0.504254344,1.681818182,2.010136386,673.9486947,-2.95,127.9199964,64.99,0.117647059,3.0282,-8.738,-0.829,7.909,1.79019,74.86147,184.09906,75.37224,258.71963,72.17815
47,COc1cc(/C=C/C(=O)Oc2ccc(NC(C)=O)cc2)ccc1O,1,11.81047892,-0.546926913,0.335667064,-0.504254344,1.833333333,1.982880248,765.4786296,-3.28,138.8827776,84.86,0.111111111,2.978,-8.665,-0.862,7.803,1.96091,74.87177,175.02012,84.02172,258.29017,72.61791
48,CC(C)(C)c1cc(O)ccc1O,1,9.459467593,-0.136087963,0.119070081,-0.507951237,1.666666667,3.231425013,284.3803205,-1.18,72.47963908,40.46,0.4,2.3953,-8.613,-0.016,8.597,1.89043,76.41301,182.81565,96.84624,278.91022,53.5391
49,O=C(OOC1CC(O)(C(=O)O)CC(O)C1O)c1cc(O)c(O)c(O)c1,1,11.81246307,-2.38413303,0.372873437,-0.504143729,1.64,2.085611577,664.3507261,-2.6,139.3841751,194.21,0.428571429,-1.4083,-9.433,-0.98,8.453,3.03254,34.7629,197.66046,-13.97315,182.93564,107.86357
50,O=C(OOC1CC(O)(C(=O)O)CC(OOC(=O)c2cc(O)c(O)c(O)c2)C1O)c1cc(O)c(O)c(O)c1,1,12.16656614,-2.627455875,0.372873437,-0.504143729,1.027027027,1.719831846,1093.515521,-4.51,204.7125868,270.2,0.285714286,-0.4952,-8.902,-1.451,7.451,6.93515,38.4017,197.58254,-22.87391,173.95696,120.48105
51,O=C(OOC1CC(O)(C(=O)O)CC(OOC(=O)c2cc(O)c(O)c(O)c2)C1OOC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1,12.65436022,-2.836607329,0.372875897,-0.504143729,0.775510204,1.627210391,1648.185925,-6.42,270.0409985,346.19,0.214285714,0.4179,-9.333,-1.207,8.126,5.68595,40.09746,203.57385,-31.9251,170.89708,125.23669
52,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,1,11.82684776,-2.309469967,0.335432216,-0.504259632,1.84,2.058883686,698.8458476,-2.62,141.587382,164.75,0.375,-0.6459,-9.287,-1.256,8.031,6.44418,73.08505,195.41085,61.69845,256.35763,72.76373
53,COc1cc(/C=C/C(=O)O)cc(OC)c1O,1,10.34980899,-1.049991969,0.327821221,-0.50169921,1.75,3.163201815,397.3782531,-2.17,92.54359072,75.99,0.181818182,1.5072,-8.705,-0.869,7.836,2.75698,73.3331,180.61809,84.91235,264.77877,64.59064
54,Nc1ccccc1O,1,8.794259259,0.145833333,0.137958202,-0.505796164,1.875,3.134861511,164.6383389,-1.18,47.56552757,46.25,0,0.9744,-9.053,-0.042,9.011,2.54791,70.33791,179.7444,97.47403,276.46676,49.90746
55,Nc1cccc(O)c1,1,8.733055556,0.212962963,0.1171292,-0.507886481,2.125,3.077660438,168.3883389,-1.18,47.56552757,46.25,0,0.9744,-8.495,0.316,8.811,3.11958,83.80047,180.56161,99.06924,278.87918,60.9576
56,NCCc1ccc(O)c(O)c1,1,9.035908919,-0.091878307,0.157163017,-0.504259893,1.909090909,2.864712197,247.8474159,-1.22,65.08964555,66.48,0.25,0.599,-8.627,0.165,8.792,2.48123,67.34112,182.38468,86.82971,268.46272,54.91471
57,CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(O)c3O)[C@H]2O1,1,12.07566807,-0.636618953,0.342339909,-0.503557857,2.142857143,2.057242745,582.0168414,-1.95,121.7948451,85.22,0.533333333,2.2755,-9.109,-0.664,8.445,6.67519,73.45389,188.68671,75.11643,263.05147,66.43873
58,CCC[C@H](O)C[C@@H]1Cc2cc(OC)c(O)c(O)c2C(=O)O1,1,11.99218734,-0.694072657,0.342141273,-0.503559011,2.142857143,2.268624138,539.4556469,-1.95,122.4813648,96.22,0.533333333,1.739,-9.147,-0.645,8.502,7.60623,74.20921,189.37689,75.22809,263.85331,66.39221
59,COc1cc(O)c2c(c1)CC(c1ccc(O)cc1)OC2=O,1,12.08422162,-0.560668462,0.34232914,-0.507966607,1.904761905,1.993449981,690.5586783,-2.69,120.9195147,75.99,0.1875,2.5606,-9.165,-0.485,8.68,7.03331,70.75974,192.98547,69.18601,261.41981,65.37624
60,Oc1cc(O)cc(Oc2c(O)cc3c(c2O)Oc2cc(Oc4c(O)cc(O)cc4O)c(O)c(O)c2O3)c1,1,10.72021857,-0.883842566,0.215434322,-0.507679012,0.972972973,1.534837834,1535.135018,-5.72,205.1991393,218.99,0,4.5196,-8.684,-0.863,7.821,4.25808,74.58443,182.67828,70.00509,251.9317,78.68904
