,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE,target
0,CCCCCCCCCCCCCCCCCCCCCCC(=O)O,10.39125511,-0.650547298,0.302839557,-0.48123039,0.72,2.971004179,262.8184049,-0.53,157.7237334,37.3,0.956521739,8.283,-10.66,0.95,11.61,1.70529,78.73992,194.916623,85.73001,279.89496,54.88127304,0.27
1,CCCCCCCCCCCCCCCCCC(=O)O,10.33320724,-0.653061016,0.302839557,-0.48123039,0.9,2.938980067,201.5949031,-0.53,125.8990228,37.3,0.944444444,6.3325,-10.82,1.017,11.837,1.95136,78.10943,168.900373,113.94672,282.09542,52.05032304,0.47
2,COc1ccccc1-c1cc(=O)c2c(OC)cccc2o1,12.37138983,-0.14388322,0.196584815,-0.495991056,1.619047619,2.291269787,848.7781897,-2.75,121.0934755,48.67,0.117647059,3.4772,-8.91,0.546,9.456,4.7138,82.74164,187.814463,125.02203,312.08482,26.69313304,0.27
3,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,10.38955999,-0.071169628,0.126524753,-0.507381418,1.35483871,1.738265683,705.4238778,-1.18,192.7270196,29.46,0.793103448,8.84026,-8.02,0.445,8.465,2.61187,67.31036,164.064923,115.89484,279.20809,44.13858304,0.56
4,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,12.10177375,-0.375399949,0.196579154,-0.507678166,1.761904762,2.216695091,862.2099983,-2.95,119.2034556,79.9,0.0625,2.8798,-9.28,0.76,10.24,5.39686,83.09349,193.555913,66.94405,259.74829,79.38151304,0.38
5,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,12.70408016,-1.062523621,0.338339156,-0.507679031,1.5,1.72135185,1196.568791,-4.47,179.9477777,177.14,0.136363636,2.5276,-8.91,1.076,9.986,7.42084,71.2654,187.308413,55.85214,242.40888,84.89283304,1.18
6,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,10.18034297,-0.933439153,0.157304618,-0.507679031,1.666666667,1.997881017,696.8034648,-2.6,119.6622065,110.38,0.2,1.5461,-9.1,0.313,9.413,3.74469,73.83837,189.298113,63.39466,251.9411,77.93358304,0.88
7,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,12.80992481,-0.487325969,0.238500102,-0.506890474,1.615384615,2.336678831,1020.551864,-3.35,148.8446839,87.36,0.210526316,3.2,-8.26,0.535,8.795,3.34287,81.24368,166.314383,96.31787,261.88058,75.39941304,0.23
8,CCCCCCCCCCCCCC(=O)O,10.25964378,-0.656551714,0.302839557,-0.48123039,1.125,2.904707558,154.8143311,-0.53,100.4392544,37.3,0.928571429,4.7721,-10.87,0.955,11.825,1.89127,78.8727,238.295473,44.41188,281.95568,52.95333304,0.58
9,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,10.38449074,-0.01775463,0.122540495,-0.507340695,1.125,3.507848338,353.8715828,-0.98,99.5101159,20.23,0.6,4.29562,-8.48,0.421,8.901,1.57966,75.89648,177.067053,103.40345,279.71883,52.21396304,0.51
10,Cc1cccc(O)c1O,8.956296296,-0.060185185,0.159876983,-0.504252956,1.888888889,3.247834734,197.9061776,-1.18,53.38481274,40.46,0.142857143,1.40622,-8.86,0.085,8.945,2.91941,74.40191,189.245193,86.48981,274.98333,55.45489304,0.86
