,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE,target
0,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,11.25961987,-1.17300359,0.347263245,-0.507381418,1.833333333,2.607781694,533.3309085,-1.71,106.2086437,66.76,0.5,2.48576,-8.56,0,8.56,4.57857,74.91206,176.981093,97.8744,274.10382,56.84455304,1
1,Oc1ccccc1,8.632222222,0.321759259,0.115074819,-0.507966995,1.571428571,3.02146531,134.1073697,-0.98,42.22563687,20.23,0,1.3922,-9.235,0.036,9.271,1.30787,82.34942,200.170693,79.2594,278.67842,59.70731304,1.757808685
2,Cc1ccccc1O,8.919259259,0.368055556,0.117979619,-0.507687284,1.875,3.134861511,160.4966295,-0.98,48.59057899,20.23,0.142857143,1.70062,-9.004,0.155,9.159,0.74536,80.03128,193.746273,87.01572,280.01032,56.05727304,1.168808193
3,Cc1cccc(O)c1,8.813055556,0.337962963,0.115339652,-0.507956572,2.125,3.077660438,164.2466295,-0.98,48.59057899,20.23,0.142857143,1.70062,-9.137,0.167,9.304,0.91497,82.39959,196.599783,83.61981,279.46792,58.96798304,1.63516601
4,Cc1ccc(O)cc1,8.756666667,0.329259259,0.115094489,-0.507966648,1.625,3.032455532,143.2466295,-0.98,48.59057899,20.23,0.142857143,1.70062,-8.926,0.095,9.021,1.55691,80.369,192.367843,88.65079,280.26696,56.13835304,1.020700865
5,COc1ccccc1O,8.985509259,0.180555556,0.159973721,-0.504254836,2,3.006524007,195.8625685,-1.18,53.70412422,29.46,0.142857143,1.4008,-8.765,0.114,8.879,2.72302,78.45788,186.669813,96.55124,282.46938,52.02481304,2.494500123
6,COc1cccc(O)c1,8.864166667,0.23087963,0.12204628,-0.507823199,2.222222222,2.936866102,195.8625685,-1.18,53.70412422,29.46,0.142857143,1.4008,-9.003,0.153,9.156,2.03606,84.66474,191.664793,86.29594,277.20906,63.49199304,3.083945898
7,COc1ccc(O)cc1,8.796632653,0.26,0.118628846,-0.507962235,1.777777778,2.881555878,178.6125685,-1.18,53.70412422,29.46,0.142857143,1.4008,-8.575,0.061,8.636,0.81415,77.51462,183.448173,97.77203,280.46853,53.08240304,2.852248499
8,Oc1ccccc1O,8.669259259,-0.076388889,0.156883181,-0.504260125,1.25,3.134861511,162.6383389,-1.18,47.01987062,40.46,0,1.0978,-8.94,0.038,8.978,2.25984,75.57752,191.976073,81.76317,272.98757,58.62626304,3.964658833
9,Oc1cccc(O)c1,8.653055556,0.087962963,0.118763674,-0.50782333,1.5,3.077660438,166.3883389,-1.18,47.01987062,40.46,0,1.0978,-9.207,0.016,9.223,1.26167,83.43786,197.125653,77.43676,273.81074,65.66343304,1.941352966
10,Oc1ccc(O)cc1,8.645555556,0.169259259,0.115345951,-0.507962237,1,3.032455532,145.3883389,-1.18,47.01987062,40.46,0,1.0978,-8.786,0.21,8.996,7.00E-05,78.14842,189.157903,90.14444,278.55067,55.63406304,11.61401352
11,COc1cc(/C=C/C(=O)O)ccc1O,10.22659037,-1.016627929,0.327821203,-0.504254344,2.214285714,2.948507337,368.3847897,-1.97,81.06510338,66.76,0.1,1.4986,-8.984,0.926,9.91,2.6461,78.02097,189.251063,74.11718,262.61657,71.44071304,3.474457484
12,O=C(O)/C=C/c1ccc(O)cc1,10.10337176,-0.983263889,0.327821185,-0.507966251,1.833333333,2.772025613,298.0546159,-1.77,69.58661603,57.53,0,1.49,-9.345,0.944,10.289,2.73899,81.85775,198.028383,61.82535,259.10206,78.79200304,3.765554218
13,Oc1cccc(O)c1O,8.706296296,-0.474537037,0.19975016,-0.50416134,1.333333333,3.247834734,199.2929995,-1.38,51.81410438,60.69,0,0.8034,-9.002,0.01,9.012,2.54092,76.07888,191.379123,78.67324,269.30069,62.81450304,1.38419266
14,Oc1ccc(O)c(O)c1,8.690092593,-0.310185185,0.160621229,-0.50781838,1.555555556,3.17167803,219.5429995,-1.38,51.81410438,60.69,0,0.8034,-8.686,0.202,8.888,1.36076,75.36958,185.278943,83.5115,268.03877,63.36712304,2.304968814
15,Oc1cc(O)cc(O)c1,8.673888889,-0.145833333,0.122452622,-0.507679548,0.888888889,3.16567031,169.0651777,-1.38,51.81410438,60.69,0,0.8034,-9.461,0.145,9.606,0.00027,87.07664,201.243983,70.44002,270.93233,72.18062304,3.133315225
16,O=Cc1ccccc1O,10.06731481,0.034722222,0.153268132,-0.507210028,2,3.14797913,217.9110651,-1.31,52.75210109,37.3,0,1.2047,-9.498,0.91,10.408,3.14454,78.9953,203.064133,76.33337,278.64583,56.38578304,2.653306201
17,O=Cc1cccc(O)c1,10.04759259,0.12462963,0.149685193,-0.507942239,2.222222222,3.070760682,217.9110651,-1.31,52.75210109,37.3,0,1.2047,-9.547,0.835,10.382,1.82304,75.47423,205.358923,67.17733,271.78458,59.72596304,2.648171706
18,O=Cc1ccc(O)cc1,10.0361489,0.181111111,0.149552579,-0.507966219,1.777777778,3.009781948,200.6610651,-1.31,52.75210109,37.3,0,1.2047,-9.627,0.653,10.28,2.5297,75.01767,207.030373,57.54917,263.82787,67.22611304,3.646481735
19,O=C(O)c1ccccc1O,10.26175926,-1.11287037,0.338969087,-0.507052891,1.9,3.152941447,254.7830614,-1.51,57.54633484,57.53,0,1.0904,-9.59,0.874,10.464,2.21091,93.26497,204.238683,69.71659,273.2036,76.09768304,0.247951511
20,O=C(O)c1cccc(O)c1,10.24203704,-1.031574074,0.335317714,-0.507939638,2.1,3.069899266,254.7830614,-1.51,57.54633484,57.53,0,1.0904,-9.615,0.879,10.494,1.02396,83.49153,206.530823,64.21998,269.99913,69.52871304,1.604418843
21,O=C(O)c1ccc(O)cc1,10.23059335,-0.986111111,0.33518286,-0.507966179,1.7,3.003400685,237.5330614,-1.51,57.54633484,57.53,0,1.0904,-9.768,0.681,10.449,3.27554,85.37761,209.433493,52.72305,261.40487,80.00905304,3.298818875
22,Cc1cccc(C)c1O,9.206296296,0.414351852,0.120883846,-0.507407376,1.555555556,3.247834734,195.5576621,-0.98,54.9555211,20.23,0.25,2.00904,-8.867,0.27,9.137,1.37912,78.11918,189.728173,92.60079,281.57729,52.57820304,0.48387579
23,Cc1cc(C)cc(O)c1,8.993888889,0.354166667,0.115604486,-0.507946148,1.444444444,3.16567031,165.3298402,-0.98,54.9555211,20.23,0.25,2.00904,-9.031,0.292,9.323,1.61379,82.55209,192.882323,88.16359,280.29424,58.29416304,1.037270936
24,Cc1ccc(O)c(C)c1,9.043703704,0.375555556,0.117999323,-0.507686937,1.888888889,3.17167803,215.8076621,-0.98,54.9555211,20.23,0.25,2.00904,-8.761,0.212,8.973,1.94837,78.42574,187.741583,94.58981,281.57972,52.88233304,0.862337882
25,Cc1ccc(C)c(O)c1,9.100092593,0.384259259,0.118244436,-0.507676853,1.888888889,3.17167803,215.8076621,-0.98,54.9555211,20.23,0.25,2.00904,-8.834,0.257,9.091,1.35583,79.89432,188.491343,92.96219,280.70186,55.22877304,0.846648975
26,Cc1ccc(O)cc1C,8.9375,0.345462963,0.115359366,-0.507956224,1.777777778,3.17167803,215.8076621,-0.98,54.9555211,20.23,0.25,2.00904,-8.831,0.221,9.052,1.41193,80.43791,189.154213,92.60099,281.00353,55.47069304,0.851973492
