,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE,target
0,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)O)O2,10.76096298,-0.795915638,0.302994897,-0.507381418,1.9,2.367631152,562.3306793,-1.71,118.9385279,66.76,0.5625,3.26596,-8.18,0.301,8.481,3.79043,72.86266,168.152073,110.73751,278.13791,50.76106304,-0.15415
1,CCC/C=C\CCC,2.267361111,1.25,-0.035336121,-0.088549764,1.25,2.831978752,45.05865003,-0.26,52.6042428,0,0.75,3.1428,-9.61,1.205,10.815,0.49012,72.20873,201.748693,111.28851,312.28553,15.95951304,-8.312398779
2,Cc1cc(O)c(C)cc1O,9.113425926,0.231759259,0.118516666,-0.507672068,1.2,3.282462907,203.4296584,-1.18,59.74975485,40.46,0.25,1.71464,-8.48,0.057,8.537,2.50311,75.87573,180.677073,100.97644,280.90184,51.01020304,-0.75199
3,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,10.18960223,-1.04973545,0.199776865,-0.507679031,1.5,2.028211111,717.9062011,-2.8,124.4564403,130.61,0.2,1.2517,-8.98,0.175,9.155,4.41974,70.53203,188.791583,73.86785,261.90776,64.66058304,-2.103734234
4,NCCc1ccc(O)c(O)c1,9.035908919,-0.091878307,0.157163017,-0.504259893,1.909090909,2.864712197,247.8474159,-1.22,65.08964555,66.48,0.25,0.599,-8.62,0.165,8.785,2.48123,67.34112,182.384683,86.82971,268.46272,54.91471304,-5.940171253
5,Cc1ccc(O)c(C)c1,9.043703704,0.375555556,0.117999323,-0.507686937,1.888888889,3.17167803,215.8076621,-0.98,54.9555211,20.23,0.25,2.00904,-8.76,0.212,8.972,1.94794,78.42596,187.752033,94.58115,281.58151,52.88076304,-1.55228
6,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,10.18034297,-0.933439153,0.157304618,-0.507679031,1.666666667,1.997881017,696.8034648,-2.6,119.6622065,110.38,0.2,1.5461,-9.08,0.349,9.429,2.80458,74.08899,190.338743,61.26052,250.84759,79.27771304,-2.587604048
7,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,10.33956082,0.289919785,0.142600124,-0.298553314,1.761904762,2.797306082,522.0416687,-1.63,129.380827,17.07,0.45,5.7169,-8.84,0.705,9.545,6.25324,60.12059,169.738103,100.69204,269.67847,46.47843304,-3.29684
8,C/C=C(/C)CC,2.162037037,1.190972222,-0.035176971,-0.088744907,2.166666667,3.218815056,51.05865003,-0.26,39.87435857,0,0.666666667,2.3626,-9.22,1.385,10.605,0.46638,72.95182,194.942443,122.61689,316.80766,12.18047304,-5.93835
9,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2cc(O)ccc2O1,9.634652581,-0.047002961,0.12308861,-0.507951611,1.535714286,1.601331772,579.7955896,-1.18,173.6321932,29.46,0.769230769,7.915,-8.31,0.157,8.467,1.81293,73.3533,172.140563,110.0183,281.40719,47.98242304,-1.820158944
10,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O,12.2334364,-0.906518068,0.186792951,-0.384916499,0.863636364,1.949572112,1341.69819,-3.6,265.2862095,74.6,0.4,8.9054,-8.12,0.829,8.949,2.5468,64.54894,156.008893,112.89602,268.15324,52.43201304,4.691347882
11,Cc1cc(O)c(C)c(C)c1O,9.400462963,0.247962963,0.121421933,-0.507661586,1.545454545,3.455546484,263.8544742,-1.18,66.11469697,40.46,0.333333333,2.02306,-8.4,0.162,8.562,1.92342,74.64558,178.128543,103.56538,280.94225,49.73964304,-0.559615788
12,C=CC=C(C)C,3.524444444,1.296296296,-0.043898935,-0.099067468,2,3.405032613,64.10749561,-0.52,39.18475554,0,0.333333333,2.1386,-8.91,0.364,9.274,1.3945,75.05805,188.742683,111.78588,299.77689,31.31747304,-6.53306183
