,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,8.80561,0.0985,0.06175,-0.39229,1.90476,2.77585,495.93146,-1.34,130.01354,20.23,0.5,5.5103,-8.55,0.228,8.778,3.77885,61.05463,165.46636,113.77275,278.48744,38.6035
1,CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,2.40511,0.29094,0.00285,-0.08497,1.225,1.87619,1198.3128,-2.86,247.3747,0,0.45,12.4617,-7.86,0.506,8.366,0.40651,59.11753,149.27213,121.47929,269.99975,45.15409
2,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,2.37245,0.29113,-0.0104,-0.06957,0.825,1.88564,1116.38309,-2.86,247.3747,0,0.45,12.6058,-7.85,0.531,8.381,0.19095,62.75404,149.42145,125.2351,273.90488,44.88547
3,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)CCC1,10.1052,-0.22042,0.05853,-0.39276,1.07317,1.89513,1251.39512,-2.9,252.16893,20.23,0.45,11.5766,-7.95,0.54,8.49,2.15407,62.46446,152.58003,119.38649,271.21485,47.28592
4,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,10.38956,-0.07117,0.12652,-0.50738,1.35484,1.73827,705.42388,-1.18,192.72702,29.46,0.7931,8.84026,-8.04,0.402,8.442,2.52428,71.69738,163.13767,116.27397,278.65997,49.07372
5,Cc1cc(O)c(C)c2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,10.10252,-0.06367,0.12626,-0.50766,1.5,1.69203,663.0932,-1.18,186.36208,29.46,0.78571,8.53184,-8.09,0.342,8.432,1.72374,68.12162,166.32188,112.33905,277.90926,46.24867
6,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,10.10252,-0.06367,0.12626,-0.50766,1.46667,1.69095,663.0932,-1.18,186.36208,29.46,0.78571,8.53184,-8.11,0.365,8.475,2.56502,72.40436,165.61026,117.44568,282.30427,46.1364
7,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,9.81549,-0.05617,0.12599,-0.50794,1.51724,1.64816,621.20897,-1.18,179.99714,29.46,0.77778,8.22342,-8.32,0.234,8.554,2.56886,65.91161,167.28886,98.99551,265.5327,56.41522
8,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,10.02378,-0.17192,0.05834,-0.39277,1.89286,1.6959,609.75183,-0.82,173.93568,20.23,0.77778,7.619,-8.69,0.4,9.09,2.42604,61.64339,171.80856,112.46435,283.52124,34.15846
9,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,12.8854,-0.00526,0.18997,-0.28895,1.30303,1.70576,855.42914,-1.96,202.49296,34.14,0.6129,9.1576,-9.36,1.471,10.831,1.5671,68.31964,186.696,69.51904,255.46337,68.89258
